"Item type","Authors","Editors","Title","Journal","Journal (full title)","Website name","Source","Publication year","Volume","Issue","Pages","Folders filed in","Labels filed in","Publisher","Publisher place","Date published","Date accessed","ISBN","ISSN","ISSN (alt.)","URLs","DOI","PMID","PMC ID","Abstract","Keywords","Copyright","Affiliation","Language","Subtype","Pages cited","Advisor","University","Department","Attachments","Level of thesis"
"Journal article","Najm FJ,DeWeirdt P,Moore MM,Bevill SM,El Farran CA,Macias KA,Hegde M,Waterbury AL,Liau BB,van Galen P,Doench JG,Bernstein BE","","Chromatin complex dependencies reveal targeting opportunities in leukemia","Nat. Commun.","Nature Communications","","","2023","14","1","448","My Papers","","Springer Science and Business Media LLC","","2023-01-27","","","2041-1723","","http://dx.doi.org/10.1038/s41467-023-36150-7;https://www.ncbi.nlm.nih.gov/pubmed/36707513;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9883437;https://pubmed.ncbi.nlm.nih.gov/36707513;https://www.nature.com/articles/s41467-023-36150-7","10.1038/s41467-023-36150-7","36707513","PMC9883437","Chromatin regulators are frequently mutated in human cancer and are attractive drug targets. They include diverse proteins that share functional domains and assemble into related multi-subunit complexes. To investigate functional relationships among these regulators, here we apply combinatorial CRISPR knockouts (KOs) to test over 35,000 gene-gene pairings in leukemia cells, using a library of over 300,000 constructs. Top pairs that demonstrate either compensatory non-lethal interactions or synergistic lethality enrich for paralogs and targets that occupy the same protein complex. The screen highlights protein complex dependencies not apparent in single KO screens, for example MCM histone exchange, the nucleosome remodeling and deacetylase (NuRD) complex, and HBO1 (KAT7) complex. We explore two approaches to NuRD complex inactivation. Paralog and non-paralog combinations of the KAT7 complex emerge as synergistic lethal and specifically nominate the ING5 PHD domain as a potential therapeutic target when paired with other KAT7 complex member losses. These findings highlight the power of combinatorial screening to provide mechanistic insight and identify therapeutic targets within redundant networks.","","https://creativecommons.org/licenses/by/4.0","Gene Regulation Observatory, Broad Institute of MIT and Harvard, Cambridge, MA, USA. Genetic Perturbation Platform, Broad Institute of MIT and Harvard, Cambridge, MA, USA. Department of Cancer Biology, Dana-Farber Cancer Institute, Boston, MA, USA. Departments of Cell Biology and Pathology, Harvard Medical School, Boston, MA, USA. Department of Chemistry and Chemical Biology, Harvard University, Cambridge, MA, USA. Division of Hematology, Brigham and Women's Hospital, Boston, MA, USA. Gene Regulation Observatory, Broad Institute of MIT and Harvard, Cambridge, MA, USA. Bradley_Bernstein@dfci.harvard.edu. Department of Cancer Biology, Dana-Farber Cancer Institute, Boston, MA, USA. Bradley_Bernstein@dfci.harvard.edu. Departments of Cell Biology and Pathology, Harvard Medical School, Boston, MA, USA. Bradley_Bernstein@dfci.harvard.edu.","en","Research Article","","","","","najm,bernstein2023chromatin complex dependencies reveal targeting opportunities in leukemia - Nat Commun.pdf",""
"Journal article","Lee KM,Fu Q,Huai G,Deng K,Lei J,Kojima L,Agarwal D,van Galen P,Kimura S,Tanimine N,Washburn L,Yeh H,Naji A,Rickert CG,LeGuern C,Markmann JF","","Suppression of allograft rejection by regulatory B cells induced via TLR signaling","JCI Insight","JCI Insight","","","2022","7","17","","My Papers","","American Society for Clinical Investigation","","2022-09-08","","","2379-3708","","http://dx.doi.org/10.1172/jci.insight.152213;https://www.ncbi.nlm.nih.gov/pubmed/35943811;https://doi.org/10.1172/jci.insight.152213;https://pubmed.ncbi.nlm.nih.gov/35943811;https://insight.jci.org/articles/view/152213;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9536278","10.1172/jci.insight.152213","35943811","PMC9536278","B lymphocytes have long been recognized for their critical contributions to adaptive immunity, providing defense against pathogens through cognate antigen presentation to T cells and Ab production. More recently appreciated is that B cells are also integral in securing self-tolerance; this has led to interest in their therapeutic application to downregulate unwanted immune responses, such as transplant rejection. In this study, we found that PMA- and ionomycin-activated mouse B cells acquire regulatory properties following stimulation through TLR4/TLR9 receptors (Bregs-TLR). Bregs-TLR efficiently inhibited T cell proliferation in vitro and prevented allograft rejection. Unlike most reported Breg activities, the inhibition of alloimmune responses by Bregs-TLR relied on the expression of TGF-β and not IL-10. In vivo, Bregs-TLR interrupted donor-specific T cell expansion and induced Tregs in a TGF-β-dependent manner. RNA-Seq analyses corroborated the involvement of TGF-β pathways in Breg-TLR function, identified potential gene pathways implicated in preventing graft rejection, and suggested targets to foster Breg regulation.","Cellular immune response; Immunology; Immunotherapy; Tolerance; Transplantation","http://creativecommons.org/licenses/by/4.0/","Department of Surgery, Massachusetts General Hospital, Harvard Medical School, Boston, United States of America. Organ Transplantation Center, University of Electronic Science and Technology of China, Chengdu, China. Department of Surgery, Hospital of the University of Pennsylvania, Philadelphia, United States of America. Division of Hematology, Brigham & Womans Hospital, Harvard Medical School, Boston, United States of America. Department of Gastroenterological and Transplantation Surgery, Hiroshima University, Hiroshima, Japan.","en","Research Article","","","","","lee,markmann2022suppression of allograft rejection by regulatory b cells induced via tlr signaling - JCI Insight.pdf",""
"Journal article","Miller TE,Lareau CA,Verga JA,DePasquale EAK,Liu V,Ssozi D,Sandor K,Yin Y,Ludwig LS,El Farran CA,Morgan DM,Satpathy AT,Griffin GK,Lane AA,Love JC,Bernstein BE,Sankaran VG,van Galen P","","Mitochondrial variant enrichment from high-throughput single-cell RNA sequencing resolves clonal populations","Nat. Biotechnol.","Nature Biotechnology","","","2022","40","7","1030-1034","My Papers","Highlight","Springer Science and Business Media LLC","","2022-07-24","2022-02-24","","1087-0156","1546-1696","http://dx.doi.org/10.1038/s41587-022-01210-8;https://www.ncbi.nlm.nih.gov/pubmed/35210612;https://doi.org/10.1038/s41587-022-01210-8;https://www.nature.com/articles/s41587-022-01210-8;https://www.nature.com/articles/s41587-022-01210-8.pdf;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9288977","10.1038/s41587-022-01210-8","35210612","PMC9288977","The combination of single-cell transcriptomics with mitochondrial DNA variant detection can be used to establish lineage relationships in primary human cells, but current methods are not scalable to interrogate complex tissues. Here, we combine common 3' single-cell RNA-sequencing protocols with mitochondrial transcriptome enrichment to increase coverage by more than 50-fold, enabling high-confidence mutation detection. The method successfully identifies skewed immune-cell expansions in primary human clonal hematopoiesis.","","","Department of Pathology, Massachusetts General Hospital, Boston, MA, USA. Broad Institute of MIT and Harvard, Cambridge, MA, USA. Department of Cancer Biology, Dana-Farber Cancer Institute, Boston, MA, USA. Department of Pathology, Stanford University, Stanford, CA, USA. Department of Genetics, Stanford University, Stanford, CA, USA. Division of Hematology/Oncology, Boston Children's Hospital and Department of Pediatric Oncology, Dana-Farber Cancer Institute, Harvard Medical School, Boston, MA, USA. Division of Hematology, Brigham and Women's Hospital, Department of Medicine, Harvard Medical School, Boston, MA, USA. Berlin Institute of Health at Charité - Universitätsmedizin Berlin, Berlin Institute for Medical Systems Biology, Max Delbrück Center for Molecular Medicine in the Helmholtz Association, Berlin, Germany. Department of Chemical Engineering, Massachusetts Institute of Technology, Cambridge, MA, USA. Koch Institute for Integrative Cancer Research, Massachusetts Institute of Technology, Cambridge, MA, USA. Department of Pathology, Brigham and Women's Hospital, Boston, MA, USA. Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA. Ludwig Center at Harvard, Harvard Medical School, Boston, MA, USA. Departments of Cell Biology and Pathology, Harvard Medical School, Boston, MA, USA. Broad Institute of MIT and Harvard, Cambridge, MA, USA. pvangalen@bwh.harvard.edu. Division of Hematology, Brigham and Women's Hospital, Department of Medicine, Harvard Medical School, Boston, MA, USA. pvangalen@bwh.harvard.edu. Ludwig Center at Harvard, Harvard Medical School, Boston, MA, USA. pvangalen@bwh.harvard.edu.","en","Research Article","","","","","miller,van galen2022 - Supplement.pdf;miller,van galen2022mitochondrial variant enrichment from high-throughput single-cell rna sequencing resolves clonal populations - Nat Biotechnol.pdf",""
"Journal article","Ainciburu M,Morgan DM,DePasquale EAK,Love JC,Prósper F,van Galen P","","WAT3R: recovery of T-cell receptor variable regions from 3' single-cell RNA-sequencing","Bioinformatics","Bioinformatics (Oxford, England)","","","2022","38","14","3645-3647","My Papers","Highlight","Oxford University Press (OUP)","","2022-07-11","2022-02-24","","1367-4803","1367-4811","http://dx.doi.org/10.1093/bioinformatics/btac382;https://www.ncbi.nlm.nih.gov/pubmed/35674381;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9272805;https://academic.oup.com/bioinformatics/article-lookup/doi/10.1093/bioinformatics/btac382;https://academic.oup.com/bioinformatics/advance-article-pdf/doi/10.1093/bioinformatics/btac382/44244427/btac382.pdf;https://academic.oup.com/bioinformatics/advance-article-abstract/doi/10.1093/bioinformatics/btac382/6604269?redirectedFrom=fulltext;https://www.biorxiv.org/content/biorxiv/early/2022/01/28/2022.01.26.477886.full.pdf;https://academic.oup.com/bioinformatics/article/38/14/3645/6604269","10.1093/bioinformatics/btac382","35674381","PMC9272805","SUMMARY: Diversity of the T-cell receptor (TCR) repertoire is central to adaptive immunity. The TCR is composed of α and β chains, encoded by the TRA and TRB genes, of which the variable regions determine antigen specificity. To generate novel biological insights into the complex functioning of immune cells, combined capture of variable regions and single-cell transcriptomes provides a compelling approach. Recent developments enable the enrichment of TRA and TRB variable regions from widely used technologies for 3'-based single-cell RNA-sequencing (scRNA-seq). However, a comprehensive computational pipeline to process TCR-enriched data from 3' scRNA-seq is not available. Here, we present an analysis pipeline to process TCR variable regions enriched from 3' scRNA-seq cDNA. The tool reports TRA and TRB nucleotide and amino acid sequences linked to cell barcodes, enabling the reconstruction of T-cell clonotypes with associated transcriptomes. We demonstrate the software using peripheral blood mononuclear cells from a healthy donor and detect TCR sequences in a high proportion of single T cells. Detection of TCR sequences is low in non-T-cell populations, demonstrating specificity. Finally, we show that TCR clones are larger in CD8 Memory T cells than in other T-cell types, indicating an association between T-cell clonotypes and differentiation states. AVAILABILITY AND IMPLEMENTATION: The Workflow for Association of T-cell receptors from 3' single-cell RNA-seq (WAT3R), including test data, is available on GitHub (https://github.com/mainciburu/WAT3R), Docker Hub (https://hub.docker.com/r/mainciburu/wat3r) and a workflow on the Terra platform (https://app.terra.bio). The test dataset is available on GEO (accession number GSE195956). SUPPLEMENTARY INFORMATION: Supplementary data are available at Bioinformatics online.","","https://academic.oup.com/journals/pages/open_access/funder_policies/chorus/standard_publication_model","Program of Hemato-Oncology, University of Navarra, Pamplona 31008, Spain. Division of Hematology, Brigham and Women's Hospital, Boston, MA 02115, USA. Department of Medicine, Harvard Medical School, Boston, MA 02115, USA. Broad Institute of MIT and Harvard, Cambridge, MA 02142, USA. Department of Chemical Engineering, Massachusetts Institute of Technology, Cambridge, MA 02139, USA. Koch Institute for Integrative Cancer Research, Massachusetts Institute of Technology, Cambridge, MA 02139, USA. Ludwig Center at Harvard, Harvard Medical School, Boston, MA 02115, USA.","en","Research Article","","","","","ainciburu,van galen2022 - Supplement.pdf;ainciburu,van galen2022 - Supplement.xlsx;ainciburu,van galen2022wat3r - recovery of t-cell receptor variable regions from 3' single-cell rna-sequencing - Bioinformatics.pdf",""
"Journal article","Romine KA,van Galen P","","Rise of the clones: Myelodysplastic syndrome to secondary acute myeloid leukemia","Blood Cancer Discov.","Blood Cancer Discovery","","","2022","3","4","270-272","My Papers","","American Association for Cancer Research (AACR)","","2022-07-06","2022-06-16","","2643-3230","2643-3249","https://aacrjournals.org/bloodcancerdiscov/article-abstract/doi/10.1158/2643-3230.BCD-22-0046/704920/Rise-of-the-Clones-Myelodysplastic-Syndrome-to?redirectedFrom=fulltext;http://dx.doi.org/10.1158/2643-3230.BCD-22-0046;https://aacrjournals.org/bloodcancerdiscov/article-pdf/doi/10.1158/2643-3230.BCD-22-0046/3161859/bcd-22-0046.pdf;https://aacrjournals.org/bloodcancerdiscov/article/3/4/270/705265/Rise-of-the-Clones-Myelodysplastic-Syndrome-to;https://www.ncbi.nlm.nih.gov/pubmed/35709709;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9338726","10.1158/2643-3230.BCD-22-0046","35709709","PMC9338726","Myelodysplastic syndrome (MDS) describes a family of blood disorders driven by the clonal expansion of mutated blood cells that can evolve into secondary acute myeloid leukemia (sAML). Two new studies use single-cell and deep sequencing to elucidate the progression of MDS to AML, revealing discrete clonal architectures and the driving role of signaling mutations.","","","","en","Commentary","","","","","romine,van galen2022rise of the clones - myelodysplastic syndrome to secondary acute myeloid leukemia - Blood Cancer Discov.pdf",""
"Journal article","Guo Q,Spasic M,Maynard AG,Goreczny GJ,Bizuayehu A,Olive JF,van Galen P,McAllister SS","","Clonal barcoding with qPCR detection enables live cell functional analyses for cancer research","Nat. Commun.","Nature Communications","","","2022","13","1","3837","My Papers","","Springer Science and Business Media LLC","","2022-07-04","","","2041-1723","","http://dx.doi.org/10.1038/s41467-022-31536-5;https://www.ncbi.nlm.nih.gov/pubmed/35788590;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9252988;https://doi.org/10.1038/s41467-022-31536-5;https://www.nature.com/articles/s41467-022-31536-5;https://www.nature.com/articles/s41467-022-31536-5.pdf","10.1038/s41467-022-31536-5","35788590","PMC9252988","Single-cell analysis methods are valuable tools; however, current approaches do not easily enable live cell retrieval. That is a particular issue when further study of cells that were eliminated during experimentation could provide critical information. We report a clonal molecular barcoding method, called SunCatcher, that enables longitudinal tracking and live cell functional analysis. From complex cell populations, we generate single cell-derived clonal populations, infect each with a unique molecular barcode, and retain stocks of individual barcoded clones (BCs). We develop quantitative PCR-based and next-generation sequencing methods that we employ to identify and quantify BCs in vitro and in vivo. We apply SunCatcher to various breast cancer cell lines and combine respective BCs to create versions of the original cell lines. While the heterogeneous BC pools reproduce their original parental cell line proliferation and tumor progression rates, individual BCs are phenotypically and functionally diverse. Early spontaneous metastases can also be identified and quantified. SunCatcher thus provides a rapid and sensitive approach for studying live single-cell clones and clonal evolution, and performing functional analyses.","","https://creativecommons.org/licenses/by/4.0","Division of Hematology, Department of Medicine, Brigham and Women's Hospital, Boston, MA, 02115, USA. Department of Medicine, Harvard Medical School, Boston, MA, 02115, USA. Broad Institute of Harvard and MIT, Cambridge, MA, 02142, USA. Harvard Stem Cell Institute, Cambridge, MA, 02138, USA. Division of Hematology, Department of Medicine, Brigham and Women's Hospital, Boston, MA, 02115, USA. smcallister1@bwh.harvard.edu. Department of Medicine, Harvard Medical School, Boston, MA, 02115, USA. smcallister1@bwh.harvard.edu. Broad Institute of Harvard and MIT, Cambridge, MA, 02142, USA. smcallister1@bwh.harvard.edu. Harvard Stem Cell Institute, Cambridge, MA, 02138, USA. smcallister1@bwh.harvard.edu.","en","Research Article","","","","","guo,mcallister2022clonal barcoding with qpcr detection enables live cell functional analyses for cancer research - Nat Commun.pdf",""
"Journal article","Zeng AGX,Bansal S,Jin L,Mitchell A,Chen WC,Abbas HA,Chan-Seng-Yue M,Voisin V,van Galen P,Tierens A,Cheok M,Preudhomme C,Dombret H,Daver N,Futreal PA,Minden MD,Kennedy JA,Wang JCY,Dick JE","","A cellular hierarchy framework for understanding heterogeneity and predicting drug response in acute myeloid leukemia","Nat. Med.","Nature Medicine","","","2022","28","6","1212-1223","My Papers","","Springer Science and Business Media LLC","","2022-06","","","1078-8956","1546-170X","http://dx.doi.org/10.1038/s41591-022-01819-x;https://www.ncbi.nlm.nih.gov/pubmed/35618837;https://doi.org/10.1038/s41591-022-01819-x;https://www.nature.com/articles/s41591-022-01819-x.pdf;https://www.nature.com/articles/s41591-022-01819-x","10.1038/s41591-022-01819-x","35618837","","The treatment landscape of acute myeloid leukemia (AML) is evolving, with promising therapies entering clinical translation, yet patient responses remain heterogeneous, and biomarkers for tailoring treatment are lacking. To understand how disease heterogeneity links with therapy response, we determined the leukemia cell hierarchy makeup from bulk transcriptomes of more than 1,000 patients through deconvolution using single-cell reference profiles of leukemia stem, progenitor and mature cell types. Leukemia hierarchy composition was associated with functional, genomic and clinical properties and converged into four overall classes, spanning Primitive, Mature, GMP and Intermediate. Critically, variation in hierarchy composition along the Primitive versus GMP or Primitive versus Mature axes were associated with response to chemotherapy or drug sensitivity profiles of targeted therapies, respectively. A seven-gene biomarker derived from the Primitive versus Mature axis was associated with response to 105 investigational drugs. Cellular hierarchy composition constitutes a novel framework for understanding disease biology and advancing precision medicine in AML.","","","Princess Margaret Cancer Centre, University Health Network, Toronto, ON, Canada. Department of Molecular Genetics, University of Toronto, Toronto, ON, Canada. Biologics Discovery, Amgen British Columbia, Burnaby, BC, Canada. Department of Leukemia, The University of Texas MD Anderson Cancer Center, Houston, TX, USA. The Donnelly Centre, University of Toronto, Toronto, ON, Canada. Division of Hematology, Brigham and Women's Hospital, Boston, MA, USA. Department of Medicine, Harvard Medical School, Boston, MA, USA. Broad Institute of MIT and Harvard, Cambridge, MA, USA. Ludwig Center at Harvard, Harvard Medical School, Boston, MA, USA. Laboratory Medicine Program, Hematopathology, University Health Network, Toronto, ON, Canada. University of Lille, CNRS, Inserm, CHU Lille, UMR9020-U1277 - CANTHER - Cancer Heterogeneity Plasticity and Resistance to Therapies, Lille, France. Department of Hematology, Hôpital Saint-Louis, Assistance Publique-Hôpitaux de Paris, Université Paris Cité, Paris, France. Department of Genomic Medicine, The University of Texas MD Anderson Cancer Center, Houston, TX, USA. Department of Medical Biophysics, University of Toronto, Toronto, ON, Canada. Department of Medicine, University of Toronto, Toronto, ON, Canada. Division of Medical Oncology and Hematology, University Health Network, Toronto, ON, Canada. Division of Medical Oncology and Hematology, Sunnybrook Health Sciences Centre, Toronto, ON, Canada. Princess Margaret Cancer Centre, University Health Network, Toronto, ON, Canada. john.dick@uhnresearch.ca. Department of Molecular Genetics, University of Toronto, Toronto, ON, Canada. john.dick@uhnresearch.ca.","en","Research Article","","","","","zeng,dick2022a cellular hierarchy framework for understanding heterogeneity and predicting drug response in acute myeloid leukemia - Nat Med.pdf",""
"Journal article","DePasquale EAK,van Galen P","","Plasticity and immune evasion in childhood ALL","Blood","Blood","","","2022","139","14","2096-2097","My Papers","","American Society of Hematology","","2022-04-07","2022-04-07","","0006-4971","1528-0020","https://ashpublications.org/blood/article/139/14/2096/484571/Plasticity-and-immune-evasion-in-childhood-ALL;http://dx.doi.org/10.1182/blood.2021015117;https://ashpublications.org/blood/article-pdf/139/14/2096/1887425/bloodbld2021015117c.pdf;https://www.ncbi.nlm.nih.gov/pubmed/35389444","10.1182/blood.2021015117","35389444","","In this issue of Blood, Chen et al use multiomic single-cell analysis to characterize KMT2A-rearranged (KMT2A-r) acute lymphoblastic leukemia (ALL) and show tha","","","","en","Commentary","","","","","depasquale,van galen2022plasticity and immune evasion in childhood all - Blood.pdf",""
"Journal article","DePasquale EAK,Ssozi D,Ainciburu M,Good J,Noel J,Villanueva MA,Couturier CP,Shalek AK,Aranki SF,Mallidi HR,Griffin GK,Lane AA,van Galen P","","Single-cell multiomics reveals clonal T-cell expansions and exhaustion in blastic plasmacytoid dendritic cell neoplasm","Front. Immunol.","Frontiers in Immunology","","","2022","13","809414","809414","My Papers","Highlight","Frontiers Media SA","","2022-03-10","","","1664-3224","","http://dx.doi.org/10.3389/fimmu.2022.809414;https://www.ncbi.nlm.nih.gov/pubmed/35359938;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8960171;https://doi.org/10.3389/fimmu.2022.809414;https://www.frontiersin.org/articles/10.3389/fimmu.2022.809414/full;https://www.frontiersin.org/article/10.3389/fimmu.2022.809414;https://www.frontiersin.org/articles/10.3389/fimmu.2022.809414/abstract;https://www.biorxiv.org/content/biorxiv/early/2021/12/03/2021.12.01.470599.full.pdf;https://www.frontiersin.org/articles/10.3389/fimmu.2022.809414/pdf?pdf=true","10.3389/fimmu.2022.809414","35359938","PMC8960171","The immune system represents a major barrier to cancer progression, driving the evolution of immunoregulatory interactions between malignant cells and T-cells in the tumor environment. Blastic plasmacytoid dendritic cell neoplasm (BPDCN), a rare acute leukemia with plasmacytoid dendritic cell (pDC) differentiation, provides a unique opportunity to study these interactions. pDCs are key producers of interferon alpha (IFNA) that play an important role in T-cell activation at the interface between the innate and adaptive immune system. To assess how uncontrolled proliferation of malignant BPDCN cells affects the tumor environment, we catalog immune cell heterogeneity in the bone marrow (BM) of five healthy controls and five BPDCN patients by analyzing 52,803 single-cell transcriptomes, including 18,779 T-cells. We test computational techniques for robust cell type classification and find that T-cells in BPDCN patients consistently upregulate interferon alpha (IFNA) response and downregulate tumor necrosis factor alpha (TNFA) pathways. Integrating transcriptional data with T-cell receptor sequencing via shared barcodes reveals significant T-cell exhaustion in BPDCN that is positively correlated with T-cell clonotype expansion. By highlighting new mechanisms of T-cell exhaustion and immune evasion in BPDCN, our results demonstrate the value of single-cell multiomics to understand immune cell interactions in the tumor environment.","BPDCN; bioinformatics; cancer; multiomics; single-cell","https://creativecommons.org/licenses/by/4.0/","Division of Hematology, Brigham and Women's Hospital, Boston, MA, United States. Department of Medicine, Harvard Medical School, Boston, MA, United States. Broad Institute of MIT and Harvard, Cambridge, MA, United States. Ludwig Center at Harvard, Harvard Medical School, Boston, MA, United States. Hemato-Oncology Program, Centro de Investigación Médica Aplicada (CIMA), Universidad de Navarra, Instituto de Investigación Sanitaria de Navarra (IDISNA), Pamplona, Spain. Department of Human Biology, Sattler College, Boston, MA, United States. Department of Biology, Massachusetts Institute of Technology, Cambridge, MA, United States. Koch Institute for Integrative Cancer Research, Massachusetts Institute of Technology, Cambridge, MA, United States. Division of Health Science & Technology, Harvard Medical School, Cambridge, MA, United States. Institute for Medical Engineering & Science, Massachusetts Institute of Technology, Cambridge, MA, United States. Ragon Institute, Harvard University, Massachusetts Institute of Technology, and Massachusetts General Hospital, Cambridge, MA, United States. Department of Chemistry, Massachusetts Institute of Technology, Cambridge, MA, United States. Division of Thoracic and Cardiac Surgery, Brigham and Women's Hospital, Boston, MA, United States. Department of Oncologic Pathology, Dana-Farber Cancer Institute, Boston, MA, United States. Department of Pathology, Brigham and Women's Hospital, Boston, MA, United States. Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, United States.","en","Research Article","","","","","depasquale,van galen2022single-cell multiomics reveals clonal t-cell exp ... stion in blastic plasmacytoid dendritic cell neoplasm - Front Immunol.pdf;depasquale,van galen2022 - Supplement.docx",""
"Journal article","Najm FJ,van Galen P","","Renewing your HBO1 subscription","Blood","Blood","","","2022","139","6","802-804","My Papers","","American Society of Hematology","","2022-02-10","2022-02-10","","0006-4971","1528-0020","https://ashpublications.org/blood/article/139/6/802/483815/Renewing-your-HBO1-subscription;http://dx.doi.org/10.1182/blood.2021014461;https://www.ncbi.nlm.nih.gov/pubmed/35142852","10.1182/blood.2021014461","35142852","","In this issue of Blood, Yang et al1 show that HBO1 (KAT7) promotes hematopoietic stem cell (HSC) quiescence and self-renewal through histone acetylation and tra","","","","en","Commentary","","","","","najm,van galen2022renewing your hbo1 subscription - Blood.pdf",""
